file  region                                  year  ratio
     <chr> <chr>                                  <int>  <dbl>
 262 at95h [314]AT314 - Steyr-Kirchdorf            1995 NA    
 263 at95h [315]AT315 - Traunviertel               1995 NA    
 264 at95h [320]AT32 - Salzburg                    1995 NA    
 265 at95h [321]AT321 - Lungau                     1995 NA    
 266 at95h [322]AT322 - Pinzgau-Pongau             1995  0.777
 267 at95h [323]AT323 - vSalzburg und Umgebung     1995  1.14 
 268 at95h [331]AT331 - Außerfern                  1995  0.983
 269 at95h [332]AT332 - Innsbruck                  1995  1.37 
 270 at95h [333]AT333 - Osttirol                   1995 NA    
 271 at95h [334]AT334 - Tiroler Oberland           1995  0.803
 272 at95h [335]AT335 - Tiroler Unterland          1995  0.791
 273 at95h [341]AT341 - Bludenz-Bregenzer Wald     1995 NA    
 274 at95h [342]AT342 - Rheintal-Bodenseegebiet    1995  0.924
 275 at96h [110]AT11 - Burgenland                  1996 NA    
 276 at96h [111]AT111 - Mittelburgenland           1996  0.905
 277 at96h [112]AT112 - Nordburgenland             1996 NA    
 278 at96h [113]AT113 - Südburgenland              1996  0.553
 279 at96h [120]AT12 - Niederösterreich            1996 NA    
 280 at96h [121]AT121 - Mostviertel-Eisenwurzen    1996 NA    
 281 at96h [122]AT122 - Niederösterreich-Süd       1996  1.20 
 282 at96h [123]AT123 - Sankt Pölten               1996  0.644
 283 at96h [124]AT124 - Waldviertel                1996 NA    
 284 at96h [125]AT125 - Weinviertel                1996  1.19 
 285 at96h [126]AT126 - Wiener Umland/Nordteil     1996  1.08 
 286 at96h [127]AT127 - Wiener Umland/Südteil      1996  0.981
 287 at96h [131]AT131 - Wien                       1996 NA    
 288 at96h [200]AT2 - Südösterreich                1996 NA    
 289 at96h [210]AT21 - Kärnten                     1996  1.87 
 290 at96h [211]AT211 - Klagenfurt-Villach         1996  1.28 
 291 at96h [212]AT212 - Oberkärnten                1996  1.35 
 292 at96h [213]AT213 - Unterkärnten               1996  1.32 
 293 at96h [221]AT221 - Graz                       1996  1.56 
 294 at96h [222]AT222 - Liezen                     1996  1.07 
 295 at96h [223]AT223 - Östliche Obersteiermark    1996  1.04 
 296 at96h [224]AT224 - Oststeiermark              1996  0.902
 297 at96h [225]AT225 - West- und Südsteiermark    1996  2.18 
 298 at96h [226]AT226 - Westliche Obersteiermark   1996  1.20 
 299 at96h [300]AT3 - Westösterreich               1996 NA    
 300 at96h [311]AT311 - Innviertel                 1996  0.623
 301 at96h [312]AT312 - Linz-Wels                  1996  1.04 
 302 at96h [313]AT313 - Mühlviertel                1996  1.13 
 303 at96h [314]AT314 - Steyr-Kirchdorf            1996  1.05 
 304 at96h [315]AT315 - Traunviertel               1996  0.839
 305 at96h [320]AT32 - Salzburg                    1996 NA    
 306 at96h [321]AT321 - Lungau                     1996  0.396
 307 at96h [322]AT322 - Pinzgau-Pongau             1996  0.929
 308 at96h [323]AT323 - vSalzburg und Umgebung     1996  1.02 
 309 at96h [331]AT331 - Außerfern                  1996  0.831
 310 at96h [332]AT332 - Innsbruck                  1996 NA    
 311 at96h [333]AT333 - Osttirol                   1996 NA    
